分類,資料集名稱,資料集識別碼,提供機關,更新頻率,檔案,來源網址,狀態,位元組,SHA256,下載時間_UTC
01_人口分布/普查_全國,人口及住宅普查（常住人口數及人口密度，99 與 109 年）,10906,行政院主計總處,每10年,01_人口分布/普查_全國/人口及住宅普查（常住人口數及人口密度，99 與 109 年）_099民國年.xml,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11525/233528/mp07017a099.xml,200,404164,c02e44781c28f44e4d2615b4db17ee98083ab1cc0ae2dde71a460a2931a668fa,2026-08-16T07:41:55+00:00
01_人口分布/普查_全國,人口及住宅普查（常住人口數及人口密度，99 與 109 年）,10906,行政院主計總處,每10年,01_人口分布/普查_全國/人口及住宅普查（常住人口數及人口密度，99 與 109 年）_109民國年.xml,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11525/233528/mp07017a109.xml,200,488648,c6e91ac7dcb30d8a219d8586ec9b2beae40051fe07d44ec94fdd41761965569e,2026-08-16T07:41:56+00:00
01_人口分布/普查_全國,常住人口數及人口密度,24238,行政院主計總處,每10年,01_人口分布/普查_全國/常住人口數及人口密度_109民國年.xml,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11525/230872/mp06134a109.xml,200,43273,8e9c87a3caa27cae00fae4c62b13ae72eec5e79d4e06c346d6b244254e547039,2026-08-16T07:41:58+00:00
01_人口分布/普查_全國,住戶數、常住人口數及平均每戶人口數,24759,行政院主計總處,每10年,01_人口分布/普查_全國/住戶數、常住人口數及平均每戶人口數_109民國年.xml,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11525/230872/mp06186a109.xml,200,49578,608b29f112fd0082bf16d2b8c99505392934ce88865ceafde12a00b84c1c7f53,2026-08-16T07:41:59+00:00
01_人口分布/普查_全國,常住人口之年齡結構（不含移工）,24240,行政院主計總處,每10年,01_人口分布/普查_全國/常住人口之年齡結構（不含移工）_109民國年.xml,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11525/230872/mp06136a109.xml,200,95244,8aefd34ad3180a7c285602e0bf1c72d5da1251365f68c2f9344ccb3aef037a46,2026-08-16T07:42:01+00:00
01_人口分布/普查_全國,常住人口之性比例（不含移工）,24239,行政院主計總處,每10年,01_人口分布/普查_全國/常住人口之性比例（不含移工）_109民國年.xml,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11525/230872/mp06135a109.xml,200,35639,686f39f1453ef714b5dfdfa54e0f513ef5808e6b769881b473e3e4ecd40ed49a,2026-08-16T07:42:02+00:00
01_人口分布/普查_全國,５歲以上常住人口之遷徙情形,24244,行政院主計總處,每10年,01_人口分布/普查_全國/５歲以上常住人口之遷徙情形_109民國年.xml,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11525/230872/mp06140a109.xml,200,34285,95730b96c96aa8d586852ed2c81e6fce8738363182a2faae661501ce20158ea5,2026-08-16T07:42:03+00:00
01_人口分布/普查_全國,１５歲以上常住人口之教育程度,24241,行政院主計總處,每10年,01_人口分布/普查_全國/１５歲以上常住人口之教育程度_109民國年.xml,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11525/230872/mp06137a109.xml,200,25977,9cb58a2045b215614d7f0b09215bfb5d60e91af6db1b9b2f7a3ce98ae2613afe,2026-08-16T07:42:05+00:00
01_人口分布/普查_全國,１５歲以上民間常住人口之工作狀況,24243,行政院主計總處,每10年,01_人口分布/普查_全國/１５歲以上民間常住人口之工作狀況_109民國年.xml,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11525/230872/mp06139a109.xml,200,161684,c58ce27759d5953d4e4d2c6df02cf8553bc4ec3dd4fc67aa77fac474a9655a09,2026-08-16T07:42:07+00:00
02_住宅存量/房屋稅籍,臺閩地區房屋稅籍所有人歸戶統計表,20342,財政部財政資訊中心,不定期更新,02_住宅存量/房屋稅籍/臺閩地區房屋稅籍所有人歸戶統計表.csv,https://www.fia.gov.tw/download/578caea5d941405080a70aab45fbf348,200,5899,74d2cde66de43b8c0cb704b8c2e38f4214a26bf4933444a1237ea45e16da2373,2026-08-16T07:42:09+00:00
